
📺中国央视频道,#genre#
CETV4,https://api.livednow.org/migu/923287339?sign=gAAAAABnJcJqCVYw9IPx1b6k3F9j_qfxbMCLc7TORXvKiIop_NRc772AulEv8NPpujB0-VnMnhCKtowzqffwqNlNsPZ2NU3FZvye8jB2rjfY5NZegCwzp1GcKgtzhLE4eoO8Mi90IRTg0D8c9ca9KuZg91XnwvBGPb7qr1eiRVTnR5MdNMhWyiI1K_qp3klG-1aJvztKqB-8rlOLOAm6bWHZQuhHJ1B7YQ%3D%3D
CETV4,http://43.138.11.122/cq/yh.php?id=G_CETV-4
CCTV-5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://183.94.146.109:2222/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://220.249.114.102:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://111.192.0.32:4022/rtp/239.3.1.130:8004
CCTV-5+,http://60.164.128.167:8029/rtp/239.255.30.184:8231
CCTV-5+,http://183.130.30.174:8808/rtp/233.50.201.220:5140
CCTV-5+,http://60.7.56.33:4000/rtp/239.253.92.82:8013
CCTV-5+,http://www.furymax.top:85/rtp/239.254.96.234:9484
CCTV-5+,http://www.furymax.top:85/rtp/239.69.1.12:9712

💰央视付费频道,#genre#
央视台球,http://124.230.56.27:55555/udp/239.76.254.58:9000
央视台球,http://124.230.56.119:55555/udp/239.76.254.58:9000
女性时尚,http://43.138.11.122/cq/yh.php?id=G_NVXINGSS-CQ
风云足球,http://183.94.146.109:2222/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://183.94.146.109:2222/tsfile/live/1017_1.m3u8
风云足球,http://124.230.56.27:55555/udp/239.76.254.52:9000
风云足球,http://124.230.56.119:55555/udp/239.76.254.52:9000
世界地理,http://124.230.56.27:55555/udp/239.76.254.57:9000
世界地理,http://60.7.56.33:4000/udp/239.253.92.131:6113
世界地理,http://124.230.56.119:55555/udp/239.76.254.57:9000
中国天气,http://221.196.136.66:1/udp/225.1.2.119:5002
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv

🎬经典电影频道,#genre#
CHC家庭影院,http://183.94.146.109:2222/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,https://pi.0472.org/chc/jt.m3u8
CHC家庭影院,http://nas.hssvm.com:8888/udp/225.1.1.213:5002
CHC家庭影院,http://110.53.52.63:8888/newlive/live/hls/51/live.m3u8
CHC动作电影,http://183.94.146.109:2222/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://ds920.dsmynas.net:5555/rtp/226.0.2.94:8012%24%E5%B1%B1%E8%A5%BFuni2+
CHC动作电影,http://219.159.194.122:8181/tsfile/live/1019_1.m3u8
CHC动作电影,http://11.xmyxc.cn/api/php/yy.php?id=1382745096
CHC动作电影,http://112.102.217.173:9003//hls/75/index.m3u8
CHC高清电影,http://220.249.114.102:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CHC高清电影,http://183.94.146.109:2222/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CHC高清电影,http://ha.xushining.com:50000/udp/225.1.1.214:5002
CHC高清电影,http://221.196.136.66:1/udp/225.1.1.214:5002
CHC影迷电影,http://eastscreen.tv/ooooo.php?id=chchd
邵氏影院,http://159.75.85.63:35455/douyu/4246519
动作影院,http://159.75.85.63:35455/douyu/122402
喜剧影院,http://159.75.85.63:35455/douyu/323876
漫威影院,http://159.75.85.63:35455/douyu/6140589
淘电影,http://111.196.191.248:5555/rtp/239.3.1.250:8001
淘电影,http://222.129.139.91:8888/rtp/239.3.1.250:8001
淘电影,http://221.221.162.225:8888/rtp/239.3.1.250:8001
淘电影,http://111.199.234.10:18888/udp/239.3.1.250:8001
